symbol,date,open,high,low,close,volume,fut_oi,fut_oi_change,call_oi,put_oi,call_oi_change,put_oi_change,pcr_oi,total_oi,returns,log_returns,sma_3,ema_3,sma_5,ema_5,sma_10,ema_10,volatility_5,volatility_10,rsi_7,macd,macd_signal,bb_mid,bb_upper,bb_lower,bb_width,oi_change_ratio,pcr_oi_ma5,oi_trend,price_change,oi_change_pct,range_pct,future_return,label,label_binary
BANKNIFTY,2024-01-01,48580.0,48869.0,48389.4,48535.7,120422000,2052195,-25530,53724930,46532235,13520115,12961905,0.8661199744699528,102309360,0.0,0.0,48535.7,48535.7,48535.7,48535.7,48535.7,48535.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012440338271947841,0.8661199744699528,0.0,0.0,-0.012440338271947841,0.009881386278553695,-0.012136427413223627,-1,0.0
BANKNIFTY,2024-01-02,48375.0,48489.95,47877.45,47946.65,178046000,2283615,231420,90830475,50634735,37105545,4102500,0.5574641660742168,143748825,-0.012136427413223627,-0.012210675195141064,48241.175,48143.0,48241.175,48182.270000000004,48241.175,48211.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10133932383523492,0.7117920702720848,0.0,-0.012136427413223627,0.10133932383523492,0.012774615119095912,-0.00030659076285843856,0,0.0
BANKNIFTY,2024-01-03,47849.85,48086.85,47763.75,47931.95,172345000,1998315,-285300,89801535,81658545,-1028940,31023810,0.9093223740551873,173458395,-0.00030659076285843856,-0.0003066377714148786,48138.1,48022.4,48138.1,48063.697368421046,48138.1,48099.25581395349,0.008364957715802377,0.0,0.0,0.0,0.0,48138.1,48826.92027409187,47449.27972590813,0.028618506924530523,-0.14277028396423988,0.7776355048664523,0.0,-0.00030659076285843856,-0.14277028396423988,0.006740806497544927,0.011887686605698278,1,1.0
BANKNIFTY,2024-01-04,48062.3,48581.3,47995.65,48501.75,154623000,2046465,48150,37491045,43931910,13446915,21070965,1.1717974252251437,83469420,0.011887686605698278,0.011817583091436037,48126.78333333333,48278.05333333334,48229.0125,48245.657692307694,48229.0125,48231.85971534654,0.012012517707997895,0.012012517707997895,48.55353414852384,0.0,0.0,48229.0125,48898.75640814699,47559.268591853004,0.0277734862660517,0.023528376981771005,0.8761759849561251,-5730.0,0.011887686605698278,0.023528376981771005,0.01207482204250365,-0.0023359981856325707,0,0.0
BANKNIFTY,2024-01-05,48502.05,48625.0,47982.0,48388.45,176646000,1900095,-146370,54289470,41901735,16798425,-2030175,0.7718206679858912,98091300,-0.0023359981856325707,-0.0023387308859456725,48274.049999999996,48335.032258064515,48260.9,48300.473696682464,48260.9,48276.81252720536,0.009866963424671013,0.009866963424671013,44.27866495706572,13.173952193792502,0.0,48260.9,48858.1888162355,47663.6111837645,0.024752493891970564,-0.07703299045574037,0.8553049215620783,-383520.0,-0.0023359981856325707,-0.07703299045574037,0.01328829503734879,-0.015842623601293293,-1,0.0
BANKNIFTY,2024-01-08,48490.0,48490.0,47567.0,47621.85,192242000,2363010,462915,78186000,44766345,23896530,2864610,0.5725621594658891,125315355,-0.015842623601293293,-0.01596945935364119,48170.68333333333,47972.780952380956,48078.12999999999,48052.495413533834,48154.39166666666,48106.69613529337,0.010896758342557404,0.010896758342557404,27.748423385035025,-33.38629951162875,-14.762198829460248,48154.39166666666,48901.15785876876,47407.625474564564,0.03101549687394448,0.19590056749654042,0.7965933585612656,364695.0,-0.015842623601293293,0.19590056749654042,0.019381859377575632,-0.00483706533870476,0,0.0
BANKNIFTY,2024-01-09,47811.1,48146.9,47341.05,47391.5,196049000,2262480,-100530,89789070,49637145,11603070,4870800,0.5528194578694267,141688695,-0.00483706533870476,-0.004848801801236004,47800.6,47679.851968503935,47967.1,47818.46644001942,48045.40714285714,47934.362596807376,0.009938610646824664,0.009756515278309195,24.94964532796226,-76.33995433073142,-43.93060933006237,48045.40714285714,48938.31810973004,47152.49617598424,0.03716946197241864,-0.04443354195396203,0.7956644169203075,216015.0,-0.00483706533870476,-0.04443354195396203,0.017004104111496755,0.004544063808910925,0,1.0
BANKNIFTY,2024-01-10,47280.0,47666.0,47201.0,47606.85,152100000,2185575,-76905,94048005,90005805,4258935,40368660,0.9570198219515661,186239385,0.004544063808910925,0.004533770720814853,47540.06666666667,47643.20784313726,47902.08,47745.06356066614,47990.5875,47859.85190266121,0.010405993169782475,0.00946464851677853,31.416681671768444,-84.67279303045507,-60.85428563637933,47990.5875,48873.51309587835,47107.661904121655,0.036795781917791565,-0.03518753646065681,0.8052039064995833,285480.0,0.004544063808910925,-0.03518753646065681,0.009767501945623371,-0.0006963283645106122,0,0.0
BANKNIFTY,2024-01-11,47767.4,47822.65,47340.55,47573.7,112409000,2275950,90375,40026405,33751140,15986670,10560555,0.843221868164278,76053495,-0.0006963283645106122,-0.0006965709137086836,47524.01666666666,47608.38590998043,47716.47,47686.4168379323,47944.26666666666,47797.59526231824,0.0075414542023788935,0.008791669543922962,40.403962434066564,-90.1782328138579,-72.11134592725972,47944.26666666666,48815.676565910406,47072.85676742292,0.036350953297595946,0.03970869307322217,0.7394887950874102,-87060.0,-0.0006963283645106122,0.03970869307322217,0.010133750370477776,0.005600783626247274,1,1.0
BANKNIFTY,2024-01-12,47656.8,48047.0,47568.6,47840.15,155583000,2013795,-262155,41083200,43854915,1056795,10103775,1.0674658984694474,86951910,0.005600783626247274,0.005585157555974948,47673.56666666667,47724.381231671556,47606.81,47738.56556398105,47933.854999999996,47806.53414731785,0.008684184686184258,0.008652227917699049,47.908883826879375,-69.62741095240199,-71.20368247028165,47933.854999999996,48758.06281555516,47109.64718444483,0.03438938159908751,-0.13017958630347182,0.7986178411841214,-248685.0,0.005600783626247274,-0.13017958630347182,0.00999996864558329,0.009742862428316013,1,1.0
